cellX,cellZ,weight
50,-46,27
51,-45,3
52,-44,3
52,-46,3
54,-45,8
50,-45,2
51,-44,12
49,-44,1
50,-44,3
51,-43,3
52,-43,4
54,-42,1
55,-42,5
56,-40,2
56,-39,1
57,-38,5
57,-37,1
56,-37,1
55,-36,1
56,-35,1
55,-34,1
54,-32,1
54,-31,1
53,-30,1
52,-31,1
52,-30,1
51,-31,1
50,-30,1
51,-29,1
50,-28,1
49,-28,1
47,-28,1
46,-29,1
46,-28,1
46,-26,1
45,-25,1
44,-26,1
44,-27,1
43,-27,1
41,-27,1
40,-28,1
39,-29,1
38,-29,1
37,-29,1
36,-31,1
35,-32,1
34,-32,1
33,-31,1
32,-33,1
31,-34,2
30,-36,2
30,-37,1
29,-38,2
28,-39,1
27,-40,1
25,-42,3
25,-43,1
26,-44,1
27,-43,1
29,-42,1
29,-41,1
29,-39,1
30,-35,1
29,-33,1
30,-32,1
32,-31,1
33,-30,1
33,-28,1
34,-27,1
36,-26,2
35,-25,2
34,-24,4
37,-24,1
36,-23,1
36,-22,2
36,-21,3
36,-20,3
36,-19,4
35,-21,1
34,-20,1
34,-18,1
34,-17,1
35,-15,1
35,-13,1
36,-12,1
37,-10,2
38,-10,1
39,-10,2
41,-10,2
42,-10,2
43,-10,1
43,-9,2
44,-9,1
46,-9,4
47,-9,4
47,-8,2
46,-8,3
45,-8,2
44,-8,1
40,-10,1
37,-9,1
36,-8,1
34,-8,1
33,-8,1
32,-9,1
31,-9,1
30,-10,1
30,-11,2
30,-12,1
30,-13,1
29,-10,1
30,-8,1
32,-8,1
33,-7,1
35,-8,1
36,-9,1
38,-9,1
40,-9,1
42,-8,1
43,-8,1
45,-9,2
48,-9,2
49,-10,1
49,-11,1
50,-11,1
50,-12,1
51,-13,1
51,-14,1
52,-15,1
53,-17,1
53,-18,1
54,-19,1
54,-21,1
54,-22,1
54,-23,2
54,-24,1
55,-26,1
54,-26,1
53,-27,1
53,-29,1
55,-29,1
56,-30,3
56,-31,12
57,-29,1
57,-28,1
56,-27,1
55,-28,1
55,-30,1
55,-31,1
53,-31,5
53,-33,1
53,-35,1
53,-36,2
52,-36,4
51,-37,7
50,-37,2
49,-38,3
48,-39,3
46,-39,1
46,-40,14
53,-43,1
55,-41,3
57,-39,1
55,-38,72
54,-37,1
54,-35,1
53,-34,1
52,-35,1
48,-38,45
47,-39,2
47,-40,1
47,-41,1
46,-41,1
46,-42,1
47,-42,10
2,-3,278
2,-2,114
1,-3,81
0,-3,31
2,-1,3
3,-1,23
